"origin","destination","departure_date","return_date","departure_time_outbound","arrival_time_outbound","departure_time_return","arrival_time_return","economy_cost","business_cost","first_class_cost","airline"
"Londres","Tokyo","2024-04-04","2024-04-09","09:00","07:15","09:00","07:15","2000","3000","3341","British Airways"
"Londres","Beijing","2024-04-05","2024-04-10","14:45","10:25","14:45","10:25","1600","2400","3287","British Airways"
"Londres","Dubai","2024-04-06","2024-04-11","12:45","23:45","12:45","23:45","1000","1500","1840","British Airways"
"Londres","Munich","2024-04-07","2024-04-12","14:20","17:20","14:20","17:20","800","1200","0","British Airways"
"Londres","Miami","2024-04-08","2024-04-13","10:00","14:50","10:00","14:50","2400","3600","2445","British Airways"
"Londres","Sao Paulo","2024-04-09","2024-04-14","21:15","06:00","21:15","06:00","3600","5400","2998","British Airways"
"Londres","Las Vegas","2024-04-10","2024-04-15","16:10","18:55","16:10","18:55","3000","4500","3991","British Airways"
"Londres","Milan","2024-04-11","2024-04-16","15:00","17:55","15:00","17:55","600","900","0","British Airways"
"Madrid","Bogota","2024-04-15","2024-04-20","12:15","16:40","12:15","16:40","1300","3000","6500","Iberia"
"Madrid","Londres","2024-04-12","2024-04-17","09:00","10:35","09:00","10:35","600","950","0","Iberia"
"Madrid","New York","2024-04-13","2024-04-18","16:10","18:55","16:10","18:55","900","1500","3000","Iberia"
"Madrid","Rio de Janeiro","2024-04-14","2024-04-19","12:00","18:50","12:00","18:50","1200","2500","5000","Iberia"
"Madrid","Panama","2024-04-16","2024-04-21","11:45","16:45","11:45","16:45","1300","4000","7000","Iberia"
"Madrid","Barcelona","2024-04-17","2024-04-22","08:15","09:30","08:15","09:30","100","500","0","Iberia"
"Madrid","Lisbon","2024-04-18","2024-04-23","15:40","16:05","15:40","16:05","100","500","0","Iberia"
"Madrid","Milan","2024-04-19","2024-04-24","08:40","10:55","08:40","10:55","800","1000","0","Iberia"
"Madrid","Sao Paulo","2024-04-20","2024-04-25","23:55","07:05","23:55","07:05","2000","3000","5000","Iberia"
"Madrid","Tenerife Norte","2024-04-21","2024-04-26","16:00","17:55","16:00","17:55","950","1900","0","Iberia"
"Madrid","Marrakesh","2024-04-22","2024-04-27","10:05","12:05","10:05","12:05","1200","2000","0","Iberia"
"Madrid","Cairo","2024-04-23","2024-04-28","09:55","15:45","09:55","15:45","2000","3500","0","Iberia"
"Madrid","Casablanca","2024-04-24","2024-04-29","11:15","13:05","11:15","13:05","1000","1500","0","Iberia"
"Dubai","Toronto","2024-04-28","2024-05-03","03:55","09:15","03:55","09:15","3000","5000","10000","Emirates"
"Frankfurt","Bogota","2024-03-29","2024-04-03","13:20","19:10","13:20","19:10","900","1600","2200","Lufthansa"
"Frankfurt","Londres","2024-03-31","2024-04-05","08:00","08:45","08:00","08:45","150","400","0","Lufthansa"
"Hong Kong","Londres","2024-05-27","2024-06-01","00:15","07:00","00:15","07:00","13000","20000","30000","Cathay Pacific"
"Frankfurt","Tokyo","2024-03-24","2024-03-29","13:45","10:30","13:45","07:30","800","1500","2000","Lufthansa"
"Frankfurt","Beijing","2024-03-25","2024-03-30","15:00","09:45","15:00","11:45","700","1400","1800","Lufthansa"
"Frankfurt","Dubai","2024-03-26","2024-03-31","14:45","22:55","14:45","22:55","600","1200","1500","Lufthansa"
"Frankfurt","Munich","2024-03-27","2024-04-01","09:15","10:10","09:15","10:10","200","500","0","Lufthansa"
